Route_1_ID,Route_1_Name,Route_1_Operator,Route_2_ID,Route_2_Name,Route_2_Operator,Overlap_Count,Overlap_Percentage,Overlapping_Stops,Common_Stop_Names_TC,Common_Stop_Names_EN,Current_Scenario,Current_Waiting_Time_Min,Current_Service_Frequency_Min,Current_Coordination_Status,Ideal_Scenario,Ideal_Waiting_Time_Min,Ideal_Service_Frequency_Min,Ideal_Coordination_Status,Coordination_Potential,Passenger_Impact,Implementation_Priority,Geographic_Area,Service_Type,Analysis_Date
45,深水埗,KMB,46,深水埗,KMB,3,60.0,"STOP1001,STOP1002,STOP1003","深水埗,長沙灣,荔枝角","Sham Shui Po,Cheung Sha Wan,Lai Chi Kok",No Coordination,7.2,13,Independent Operation,Limited Coordination,5.8,10,Partial Coordination,Medium,Moderate,Medium Priority,Sham Shui Po,Urban Route,2024-10-19
50,北角,KMB,51,北角,KMB,3,65.0,"STOP1101,STOP1102,STOP1103","北角,鰂魚涌,太古","North Point,Quarry Bay,Tai Koo",No Coordination,6.5,12,Independent Operation,Limited Coordination,5.2,9,Partial Coordination,Medium,Moderate,Medium Priority,North Point,Urban Route,2024-10-19
55,銅鑼灣,KMB,56,銅鑼灣,KMB,3,70.0,"STOP1201,STOP1202,STOP1203","銅鑼灣,灣仔,金鐘","Causeway Bay,Wan Chai,Admiralty",No Coordination,7.8,11,Independent Operation,Coordinated Scheduling,5.5,8,Coordinated Operation,High,Significant,High Priority,Causeway Bay,Urban Route,2024-10-19
60,中環,KMB,61,中環,KMB,2,50.0,"STOP1301,STOP1302","中環,金鐘","Central,Admiralty",No Coordination,5.5,15,Independent Operation,Basic Coordination,4.8,12,Basic Coordination,Low,Limited,Low Priority,Central District,Urban Route,2024-10-19
65,尖沙咀,KMB,66,尖沙咀,KMB,3,60.0,"STOP1401,STOP1402,STOP1403","尖沙咀,佐敦,油麻地","Tsim Sha Tsui,Jordan,Yau Ma Tei",No Coordination,6.2,13,Independent Operation,Limited Coordination,5.0,10,Partial Coordination,Medium,Moderate,Medium Priority,Tsim Sha Tsui,Urban Route,2024-10-19
70,旺角,KMB,71,旺角,KMB,4,80.0,"STOP1501,STOP1502,STOP1503,STOP1504","旺角,油麻地,佐敦,尖沙咀","Mong Kok,Yau Ma Tei,Jordan,Tsim Sha Tsui",No Coordination,8.8,9,Independent Operation,Coordinated Scheduling,6.2,7,Coordinated Operation,High,Significant,High Priority,Mong Kok,Urban Route,2024-10-19
75,沙田,KMB,76,沙田,KMB,3,55.0,"STOP1601,STOP1602,STOP1603","沙田,大圍,火炭","Sha Tin,Tai Wai,Fo Tan",No Coordination,7.0,14,Independent Operation,Limited Coordination,5.8,11,Partial Coordination,Medium,Moderate,Medium Priority,Sha Tin,Regional Route,2024-10-19
80,屯門,KMB,81,屯門,KMB,2,45.0,"STOP1701,STOP1702","屯門,元朗","Tuen Mun,Yuen Long",No Coordination,6.5,17,Independent Operation,Basic Coordination,5.5,14,Basic Coordination,Low,Limited,Low Priority,Tuen Mun,Regional Route,2024-10-19
85,荃灣,KMB,86,荃灣,KMB,3,58.0,"STOP1801,STOP1802,STOP1803","荃灣,葵芳,荔景","Tsuen Wan,Kwai Fong,Lai King",No Coordination,7.2,13,Independent Operation,Limited Coordination,5.8,10,Partial Coordination,Medium,Moderate,Medium Priority,Tsuen Wan,Regional Route,2024-10-19
90,觀塘,KMB,91,觀塘,KMB,3,62.0,"STOP1901,STOP1902,STOP1903","觀塘,牛頭角,九龍灣","Kwun Tong,Ngau Tau Kok,Kowloon Bay",No Coordination,6.8,12,Independent Operation,Limited Coordination,5.5,9,Partial Coordination,Medium,Moderate,Medium Priority,Kwun Tong,Urban Route,2024-10-19
95,深水埗,KMB,96,深水埗,KMB,2,50.0,"STOP2001,STOP2002","深水埗,長沙灣","Sham Shui Po,Cheung Sha Wan",No Coordination,5.8,16,Independent Operation,Basic Coordination,5.0,13,Basic Coordination,Low,Limited,Low Priority,Sham Shui Po,Urban Route,2024-10-19
100,北角,KMB,101,北角,KMB,3,68.0,"STOP2101,STOP2102,STOP2103","北角,鰂魚涌,太古","North Point,Quarry Bay,Tai Koo",No Coordination,7.5,11,Independent Operation,Limited Coordination,6.0,8,Partial Coordination,Medium,Moderate,Medium Priority,North Point,Urban Route,2024-10-19
105,銅鑼灣,KMB,106,銅鑼灣,KMB,3,72.0,"STOP2201,STOP2202,STOP2203","銅鑼灣,灣仔,金鐘","Causeway Bay,Wan Chai,Admiralty",No Coordination,8.0,10,Independent Operation,Coordinated Scheduling,5.8,7,Coordinated Operation,High,Significant,High Priority,Causeway Bay,Urban Route,2024-10-19
110,中環,KMB,111,中環,KMB,2,48.0,"STOP2301,STOP2302","中環,金鐘","Central,Admiralty",No Coordination,5.2,16,Independent Operation,Basic Coordination,4.5,13,Basic Coordination,Low,Limited,Low Priority,Central District,Urban Route,2024-10-19
115,尖沙咀,KMB,116,尖沙咀,KMB,3,63.0,"STOP2401,STOP2402,STOP2403","尖沙咀,佐敦,油麻地","Tsim Sha Tsui,Jordan,Yau Ma Tei",No Coordination,6.8,12,Independent Operation,Limited Coordination,5.5,9,Partial Coordination,Medium,Moderate,Medium Priority,Tsim Sha Tsui,Urban Route,2024-10-19
120,旺角,KMB,121,旺角,KMB,3,65.0,"STOP2501,STOP2502,STOP2503","旺角,油麻地,佐敦","Mong Kok,Yau Ma Tei,Jordan",No Coordination,7.2,11,Independent Operation,Limited Coordination,5.8,8,Partial Coordination,Medium,Moderate,Medium Priority,Mong Kok,Urban Route,2024-10-19
125,沙田,KMB,126,沙田,KMB,2,42.0,"STOP2601,STOP2602","沙田,大圍","Sha Tin,Tai Wai",No Coordination,6.0,18,Independent Operation,Basic Coordination,5.2,15,Basic Coordination,Low,Limited,Low Priority,Sha Tin,Regional Route,2024-10-19
130,屯門,KMB,131,屯門,KMB,3,56.0,"STOP2701,STOP2702,STOP2703","屯門,元朗,天水圍","Tuen Mun,Yuen Long,Tin Shui Wai",No Coordination,7.8,15,Independent Operation,Limited Coordination,6.2,12,Partial Coordination,Medium,Moderate,Medium Priority,Tuen Mun,Regional Route,2024-10-19
135,荃灣,KMB,136,荃灣,KMB,2,47.0,"STOP2801,STOP2802","荃灣,葵芳","Tsuen Wan,Kwai Fong",No Coordination,6.2,17,Independent Operation,Basic Coordination,5.5,14,Basic Coordination,Low,Limited,Low Priority,Tsuen Wan,Regional Route,2024-10-19
140,觀塘,KMB,141,觀塘,KMB,3,61.0,"STOP2901,STOP2902,STOP2903","觀塘,牛頭角,九龍灣","Kwun Tong,Ngau Tau Kok,Kowloon Bay",No Coordination,6.5,13,Independent Operation,Limited Coordination,5.2,10,Partial Coordination,Medium,Moderate,Medium Priority,Kwun Tong,Urban Route,2024-10-19
145,深水埗,KMB,146,深水埗,KMB,3,64.0,"STOP3001,STOP3002,STOP3003","深水埗,長沙灣,荔枝角","Sham Shui Po,Cheung Sha Wan,Lai Chi Kok",No Coordination,7.0,12,Independent Operation,Limited Coordination,5.8,9,Partial Coordination,Medium,Moderate,Medium Priority,Sham Shui Po,Urban Route,2024-10-19
150,北角,KMB,151,北角,KMB,2,49.0,"STOP3101,STOP3102","北角,鰂魚涌","North Point,Quarry Bay",No Coordination,5.8,15,Independent Operation,Basic Coordination,5.0,12,Basic Coordination,Low,Limited,Low Priority,North Point,Urban Route,2024-10-19
