datetime,Ta Kwu Ling,Lau Fau Shan,Sha Tin,Tsing Yi,Kai Tak,Cheung Chau,Sai Kung,Chek Lap Kok
2025-09-08 11:00:00,14.0,43.0,17.0,41.0,32.0,67.0,39.0,51.0
2025-09-08 11:10:00,13.0,44.0,19.0,47.0,32.0,60.0,36.0,45.0
2025-09-08 11:20:00,12.0,53.0,16.0,40.0,28.0,62.0,40.0,44.0
2025-09-08 11:30:00,19.0,49.0,13.0,49.0,25.0,61.0,53.0,45.0
2025-09-08 11:40:00,18.0,44.0,22.0,50.0,28.0,59.0,50.0,37.0
2025-09-08 11:50:00,13.0,50.0,17.0,47.0,25.0,57.0,49.0,42.0
2025-09-08 12:00:00,13.0,43.0,15.0,44.0,29.0,59.0,42.0,38.0
2025-09-08 12:10:00,14.0,41.0,21.0,45.0,29.0,59.0,42.0,41.0
2025-09-08 12:20:00,14.0,42.0,12.0,44.0,22.0,57.0,40.0,45.0
2025-09-08 12:30:00,9.0,37.0,21.0,35.0,24.0,47.0,36.0,49.0
2025-09-08 12:40:00,13.0,30.0,23.0,28.0,23.0,54.0,36.0,41.0
2025-09-08 12:50:00,17.0,29.0,22.0,37.0,25.0,63.0,36.0,36.0
2025-09-08 13:00:00,15.0,27.0,19.0,40.0,27.0,61.0,40.0,59.0
2025-09-08 13:10:00,22.0,32.0,24.0,37.0,23.0,59.0,40.0,46.0
2025-09-08 13:20:00,22.0,37.0,26.0,35.0,20.0,54.0,35.0,32.0
