SEX,SEXDesc,AGE,AGEDesc,freq,period,sv,svDesc,figure,sd_value
F,Female,85+,≥85,H,196106,POP,Number ('000),2,
M,Male,,Total,H,196106,POP,Number ('000),1586.9,
M,Male,0-4,0 - 4,H,196106,POP,Number ('000),268.4,
M,Male,10-14,10 - 14,H,196106,POP,Number ('000),161.1,
M,Male,15-19,15 - 19,H,196106,POP,Number ('000),96,
M,Male,20-24,20 - 24,H,196106,POP,Number ('000),102.1,
M,Male,25-29,25 - 29,H,196106,POP,Number ('000),129.8,
M,Male,30-34,30 - 34,H,196106,POP,Number ('000),135.4,
M,Male,35-39,35 - 39,H,196106,POP,Number ('000),119.1,
M,Male,40-44,40 - 44,H,196106,POP,Number ('000),106.9,
M,Male,45-49,45 - 49,H,196106,POP,Number ('000),85.1,
M,Male,5-9,5 - 9,H,196106,POP,Number ('000),221.6,
M,Male,50-54,50 - 54,H,196106,POP,Number ('000),64.6,
M,Male,55-59,55 - 59,H,196106,POP,Number ('000),38,
M,Male,60-64,60 - 64,H,196106,POP,Number ('000),26.8,
M,Male,65-69,65 - 69,H,196106,POP,Number ('000),15.3,
M,Male,70-74,70 - 74,H,196106,POP,Number ('000),9.6,
M,Male,75-79,75 - 79,H,196106,POP,Number ('000),4.1,
M,Male,80-84,80 - 84,H,196106,POP,Number ('000),2.2,
M,Male,85+,≥85,H,196106,POP,Number ('000),0.8,
,Total,,Total,H,196112,POP,Number ('000),3195.3,
F,Female,,Total,H,196112,POP,Number ('000),,N.A.
M,Male,,Total,H,196112,POP,Number ('000),,N.A.
,Total,,Total,H,196206,POP,Number ('000),3305.2,
,Total,0-4,0 - 4,H,196206,POP,Number ('000),534.9,
,Total,10-14,10 - 14,H,196206,POP,Number ('000),353.5,
,Total,15-19,15 - 19,H,196206,POP,Number ('000),212.5,
,Total,20-24,20 - 24,H,196206,POP,Number ('000),197.7,
,Total,25-29,25 - 29,H,196206,POP,Number ('000),243.8,
,Total,30-34,30 - 34,H,196206,POP,Number ('000),264.1,
,Total,35-39,35 - 39,H,196206,POP,Number ('000),236.1,
,Total,40-44,40 - 44,H,196206,POP,Number ('000),210.5,
,Total,45-49,45 - 49,H,196206,POP,Number ('000),164.7,
,Total,5-9,5 - 9,H,196206,POP,Number ('000),466.7,
,Total,50-54,50 - 54,H,196206,POP,Number ('000),142,
,Total,55-59,55 - 59,H,196206,POP,Number ('000),97,
,Total,60-64,60 - 64,H,196206,POP,Number ('000),74.6,
,Total,65-69,65 - 69,H,196206,POP,Number ('000),48.6,
,Total,70-74,70 - 74,H,196206,POP,Number ('000),31.4,
,Total,75-79,75 - 79,H,196206,POP,Number ('000),15.8,
,Total,80-84,80 - 84,H,196206,POP,Number ('000),7.6,
,Total,85+,≥85,H,196206,POP,Number ('000),3.7,
F,Female,,Total,H,196206,POP,Number ('000),1638.6,
F,Female,0-4,0 - 4,H,196206,POP,Number ('000),263,
F,Female,10-14,10 - 14,H,196206,POP,Number ('000),175.5,
F,Female,15-19,15 - 19,H,196206,POP,Number ('000),101.7,
F,Female,20-24,20 - 24,H,196206,POP,Number ('000),90.1,
F,Female,25-29,25 - 29,H,196206,POP,Number ('000),114.4,
F,Female,30-34,30 - 34,H,196206,POP,Number ('000),126,
F,Female,35-39,35 - 39,H,196206,POP,Number ('000),113.3,
F,Female,40-44,40 - 44,H,196206,POP,Number ('000),99.9,
F,Female,45-49,45 - 49,H,196206,POP,Number ('000),85.5,
F,Female,5-9,5 - 9,H,196206,POP,Number ('000),222.8,
F,Female,50-54,50 - 54,H,196206,POP,Number ('000),72.6,
F,Female,55-59,55 - 59,H,196206,POP,Number ('000),55.5,
F,Female,60-64,60 - 64,H,196206,POP,Number ('000),45.5,
F,Female,65-69,65 - 69,H,196206,POP,Number ('000),32.2,
F,Female,70-74,70 - 74,H,196206,POP,Number ('000),21.3,
F,Female,75-79,75 - 79,H,196206,POP,Number ('000),11.2,
F,Female,80-84,80 - 84,H,196206,POP,Number ('000),5.5,
F,Female,85+,≥85,H,196206,POP,Number ('000),2.6,
M,Male,,Total,H,196206,POP,Number ('000),1666.6,
M,Male,0-4,0 - 4,H,196206,POP,Number ('000),271.9,
M,Male,10-14,10 - 14,H,196206,POP,Number ('000),178,
M,Male,15-19,15 - 19,H,196206,POP,Number ('000),110.8,
M,Male,20-24,20 - 24,H,196206,POP,Number ('000),107.6,
M,Male,25-29,25 - 29,H,196206,POP,Number ('000),129.4,
M,Male,30-34,30 - 34,H,196206,POP,Number ('000),138.1,
M,Male,35-39,35 - 39,H,196206,POP,Number ('000),122.8,
M,Male,40-44,40 - 44,H,196206,POP,Number ('000),110.6,
M,Male,45-49,45 - 49,H,196206,POP,Number ('000),79.2,
M,Male,5-9,5 - 9,H,196206,POP,Number ('000),243.9,
M,Male,50-54,50 - 54,H,196206,POP,Number ('000),69.4,
M,Male,55-59,55 - 59,H,196206,POP,Number ('000),41.5,
M,Male,60-64,60 - 64,H,196206,POP,Number ('000),29.1,
M,Male,65-69,65 - 69,H,196206,POP,Number ('000),16.4,
M,Male,70-74,70 - 74,H,196206,POP,Number ('000),10.1,
M,Male,75-79,75 - 79,H,196206,POP,Number ('000),4.6,
M,Male,80-84,80 - 84,H,196206,POP,Number ('000),2.1,
M,Male,85+,≥85,H,196206,POP,Number ('000),1.1,
,Total,,Total,H,196212,POP,Number ('000),3368.2,
F,Female,,Total,H,196212,POP,Number ('000),,N.A.
M,Male,,Total,H,196212,POP,Number ('000),,N.A.
,Total,,Total,H,196306,POP,Number ('000),3420.9,
,Total,0-4,0 - 4,H,196306,POP,Number ('000),541.2,
,Total,10-14,10 - 14,H,196306,POP,Number ('000),379.2,
,Total,15-19,15 - 19,H,196306,POP,Number ('000),239.1,
,Total,20-24,20 - 24,H,196306,POP,Number ('000),198.1,
,Total,25-29,25 - 29,H,196306,POP,Number ('000),236.6,
,Total,30-34,30 - 34,H,196306,POP,Number ('000),264.6,
,Total,35-39,35 - 39,H,196306,POP,Number ('000),242.9,
,Total,40-44,40 - 44,H,196306,POP,Number ('000),215.8,
,Total,45-49,45 - 49,H,196306,POP,Number ('000),181.3,
,Total,5-9,5 - 9,H,196306,POP,Number ('000),478.2,
,Total,50-54,50 - 54,H,196306,POP,Number ('000),148.3,
,Total,55-59,55 - 59,H,196306,POP,Number ('000),103.7,
,Total,60-64,60 - 64,H,196306,POP,Number ('000),77.6,
,Total,65-69,65 - 69,H,196306,POP,Number ('000),52.1,
,Total,70-74,70 - 74,H,196306,POP,Number ('000),32.9,
,Total,75-79,75 - 79,H,196306,POP,Number ('000),17.3,
,Total,80-84,80 - 84,H,196306,POP,Number ('000),7.7,
,Total,85+,≥85,H,196306,POP,Number ('000),4.3,
F,Female,,Total,H,196306,POP,Number ('000),1690.8,
F,Female,0-4,0 - 4,H,196306,POP,Number ('000),265.6,
F,Female,10-14,10 - 14,H,196306,POP,Number ('000),187.6,
F,Female,15-19,15 - 19,H,196306,POP,Number ('000),114.8,
F,Female,20-24,20 - 24,H,196306,POP,Number ('000),88.7,
F,Female,25-29,25 - 29,H,196306,POP,Number ('000),109.8,
F,Female,30-34,30 - 34,H,196306,POP,Number ('000),125.9,
F,Female,35-39,35 - 39,H,196306,POP,Number ('000),116.5,
F,Female,40-44,40 - 44,H,196306,POP,Number ('000),102.6,
F,Female,45-49,45 - 49,H,196306,POP,Number ('000),88.1,
F,Female,5-9,5 - 9,H,196306,POP,Number ('000),233.1,
F,Female,50-54,50 - 54,H,196306,POP,Number ('000),75.2,
F,Female,55-59,55 - 59,H,196306,POP,Number ('000),58.1,
F,Female,60-64,60 - 64,H,196306,POP,Number ('000),47.1,
F,Female,65-69,65 - 69,H,196306,POP,Number ('000),34.2,
F,Female,70-74,70 - 74,H,196306,POP,Number ('000),22.5,
F,Female,75-79,75 - 79,H,196306,POP,Number ('000),12.3,
F,Female,80-84,80 - 84,H,196306,POP,Number ('000),5.6,
F,Female,85+,≥85,H,196306,POP,Number ('000),3.1,
M,Male,,Total,H,196306,POP,Number ('000),1730.1,
M,Male,0-4,0 - 4,H,196306,POP,Number ('000),275.6,
M,Male,10-14,10 - 14,H,196306,POP,Number ('000),191.6,
M,Male,15-19,15 - 19,H,196306,POP,Number ('000),124.3,
M,Male,20-24,20 - 24,H,196306,POP,Number ('000),109.4,
M,Male,25-29,25 - 29,H,196306,POP,Number ('000),126.8,
M,Male,30-34,30 - 34,H,196306,POP,Number ('000),138.7,
M,Male,35-39,35 - 39,H,196306,POP,Number ('000),126.4,
M,Male,40-44,40 - 44,H,196306,POP,Number ('000),113.2,
M,Male,45-49,45 - 49,H,196306,POP,Number ('000),93.2,
M,Male,5-9,5 - 9,H,196306,POP,Number ('000),245.1,
M,Male,50-54,50 - 54,H,196306,POP,Number ('000),73.1,
M,Male,55-59,55 - 59,H,196306,POP,Number ('000),45.6,
M,Male,60-64,60 - 64,H,196306,POP,Number ('000),30.5,
M,Male,65-69,65 - 69,H,196306,POP,Number ('000),17.9,
M,Male,70-74,70 - 74,H,196306,POP,Number ('000),10.4,
M,Male,75-79,75 - 79,H,196306,POP,Number ('000),5,
M,Male,80-84,80 - 84,H,196306,POP,Number ('000),2.1,
M,Male,85+,≥85,H,196306,POP,Number ('000),1.2,
,Total,,Total,H,196312,POP,Number ('000),3461.8,
F,Female,,Total,H,196312,POP,Number ('000),,N.A.
M,Male,,Total,H,196312,POP,Number ('000),,N.A.
,Total,,Total,H,196406,POP,Number ('000),3504.6,
,Total,0-4,0 - 4,H,196406,POP,Number ('000),540.3,
,Total,10-14,10 - 14,H,196406,POP,Number ('000),399.8,
,Total,15-19,15 - 19,H,196406,POP,Number ('000),267.6,
,Total,20-24,20 - 24,H,196406,POP,Number ('000),193.6,
,Total,25-29,25 - 29,H,196406,POP,Number ('000),224.7,
,Total,30-34,30 - 34,H,196406,POP,Number ('000),260.7,
,Total,35-39,35 - 39,H,196406,POP,Number ('000),248.3,
,Total,40-44,40 - 44,H,196406,POP,Number ('000),218.5,
,Total,45-49,45 - 49,H,196406,POP,Number ('000),187.1,
,Total,5-9,5 - 9,H,196406,POP,Number ('000),498.4,
,Total,50-54,50 - 54,H,196406,POP,Number ('000),152.9,
,Total,55-59,55 - 59,H,196406,POP,Number ('000),111.2,
,Total,60-64,60 - 64,H,196406,POP,Number ('000),79.2,
,Total,65-69,65 - 69,H,196406,POP,Number ('000),56.2,
,Total,70-74,70 - 74,H,196406,POP,Number ('000),34.1,
,Total,75-79,75 - 79,H,196406,POP,Number ('000),19.2,
,Total,80-84,80 - 84,H,196406,POP,Number ('000),7.9,
,Total,85+,≥85,H,196406,POP,Number ('000),4.9,
F,Female,,Total,H,196406,POP,Number ('000),1735.4,
F,Female,0-4,0 - 4,H,196406,POP,Number ('000),265,
F,Female,10-14,10 - 14,H,196406,POP,Number ('000),197,
F,Female,15-19,15 - 19,H,196406,POP,Number ('000),130.2,
F,Female,20-24,20 - 24,H,196406,POP,Number ('000),87.5,
F,Female,25-29,25 - 29,H,196406,POP,Number ('000),104,
F,Female,30-34,30 - 34,H,196406,POP,Number ('000),124.3,
F,Female,35-39,35 - 39,H,196406,POP,Number ('000),119.5,
F,Female,40-44,40 - 44,H,196406,POP,Number ('000),104.7,
F,Female,45-49,45 - 49,H,196406,POP,Number ('000),90.6,
F,Female,5-9,5 - 9,H,196406,POP,Number ('000),243,
F,Female,50-54,50 - 54,H,196406,POP,Number ('000),77.3,
F,Female,55-59,55 - 59,H,196406,POP,Number ('000),61.1,
F,Female,60-64,60 - 64,H,196406,POP,Number ('000),48.2,
F,Female,65-69,65 - 69,H,196406,POP,Number ('000),36.5,
F,Female,70-74,70 - 74,H,196406,POP,Number ('000),23.6,
F,Female,75-79,75 - 79,H,196406,POP,Number ('000),13.6,
F,Female,80-84,80 - 84,H,196406,POP,Number ('000),5.8,
F,Female,85+,≥85,H,196406,POP,Number ('000),3.5,
M,Male,,Total,H,196406,POP,Number ('000),1769.2,
M,Male,0-4,0 - 4,H,196406,POP,Number ('000),275.3,
M,Male,10-14,10 - 14,H,196406,POP,Number ('000),202.8,
M,Male,15-19,15 - 19,H,196406,POP,Number ('000),137.4,
M,Male,20-24,20 - 24,H,196406,POP,Number ('000),106.1,
M,Male,25-29,25 - 29,H,196406,POP,Number ('000),120.7,
M,Male,30-34,30 - 34,H,196406,POP,Number ('000),136.4,
M,Male,35-39,35 - 39,H,196406,POP,Number ('000),128.8,
M,Male,40-44,40 - 44,H,196406,POP,Number ('000),113.8,
M,Male,45-49,45 - 49,H,196406,POP,Number ('000),96.5,
M,Male,5-9,5 - 9,H,196406,POP,Number ('000),255.4,
M,Male,50-54,50 - 54,H,196406,POP,Number ('000),75.6,
M,Male,55-59,55 - 59,H,196406,POP,Number ('000),50.1,
M,Male,60-64,60 - 64,H,196406,POP,Number ('000),31,
M,Male,65-69,65 - 69,H,196406,POP,Number ('000),19.7,
M,Male,70-74,70 - 74,H,196406,POP,Number ('000),10.5,
M,Male,75-79,75 - 79,H,196406,POP,Number ('000),5.6,
M,Male,80-84,80 - 84,H,196406,POP,Number ('000),2.1,
M,Male,85+,≥85,H,196406,POP,Number ('000),1.4,
,Total,,Total,H,196412,POP,Number ('000),3545.1,
F,Female,,Total,H,196412,POP,Number ('000),,N.A.
M,Male,,Total,H,196412,POP,Number ('000),,N.A.
,Total,,Total,H,196506,POP,Number ('000),3597.9,
,Total,0-4,0 - 4,H,196506,POP,Number ('000),533.3,
,Total,10-14,10 - 14,H,196506,POP,Number ('000),418.6,
,Total,15-19,15 - 19,H,196506,POP,Number ('000),299.4,
,Total,20-24,20 - 24,H,196506,POP,Number ('000),196.9,
,Total,25-29,25 - 29,H,196506,POP,Number ('000),215.6,
,Total,30-34,30 - 34,H,196506,POP,Number ('000),256.8,
,Total,35-39,35 - 39,H,196506,POP,Number ('000),254.8,
,Total,40-44,40 - 44,H,196506,POP,Number ('000),222.6,
,Total,45-49,45 - 49,H,196506,POP,Number ('000),194,
,Total,5-9,5 - 9,H,196506,POP,Number ('000),516.2,
,Total,50-54,50 - 54,H,196506,POP,Number ('000),157.8,
,Total,55-59,55 - 59,H,196506,POP,Number ('000),119.7,
,Total,60-64,60 - 64,H,196506,POP,Number ('000),81.3,
,Total,65-69,65 - 69,H,196506,POP,Number ('000),60.3,
,Total,70-74,70 - 74,H,196506,POP,Number ('000),35.8,
,Total,75-79,75 - 79,H,196506,POP,Number ('000),21,
,Total,80-84,80 - 84,H,196506,POP,Number ('000),8.4,
,Total,85+,≥85,H,196506,POP,Number ('000),5.4,
F,Female,,Total,H,196506,POP,Number ('000),1779.9,
F,Female,0-4,0 - 4,H,196506,POP,Number ('000),261.3,
F,Female,10-14,10 - 14,H,196506,POP,Number ('000),205.4,
F,Female,15-19,15 - 19,H,196506,POP,Number ('000),147,
F,Female,20-24,20 - 24,H,196506,POP,Number ('000),89.3,
F,Female,25-29,25 - 29,H,196506,POP,Number ('000),98.7,
F,Female,30-34,30 - 34,H,196506,POP,Number ('000),122,
F,Female,35-39,35 - 39,H,196506,POP,Number ('000),122.4,
F,Female,40-44,40 - 44,H,196506,POP,Number ('000),106.9,
F,Female,45-49,45 - 49,H,196506,POP,Number ('000),93.4,
F,Female,5-9,5 - 9,H,196506,POP,Number ('000),251.9,
F,Female,50-54,50 - 54,H,196506,POP,Number ('000),79.3,
F,Female,55-59,55 - 59,H,196506,POP,Number ('000),64.3,
F,Female,60-64,60 - 64,H,196506,POP,Number ('000),49.3,
F,Female,65-69,65 - 69,H,196506,POP,Number ('000),38.7,
F,Female,70-74,70 - 74,H,196506,POP,Number ('000),24.9,
F,Female,75-79,75 - 79,H,196506,POP,Number ('000),14.9,
F,Female,80-84,80 - 84,H,196506,POP,Number ('000),6.3,
F,Female,85+,≥85,H,196506,POP,Number ('000),3.9,
M,Male,,Total,H,196506,POP,Number ('000),1818,
M,Male,0-4,0 - 4,H,196506,POP,Number ('000),272,
M,Male,10-14,10 - 14,H,196506,POP,Number ('000),213.2,
M,Male,15-19,15 - 19,H,196506,POP,Number ('000),152.4,
M,Male,20-24,20 - 24,H,196506,POP,Number ('000),107.6,
M,Male,25-29,25 - 29,H,196506,POP,Number ('000),116.9,
M,Male,30-34,30 - 34,H,196506,POP,Number ('000),134.8,
M,Male,35-39,35 - 39,H,196506,POP,Number ('000),132.4,
M,Male,40-44,40 - 44,H,196506,POP,Number ('000),115.7,
M,Male,45-49,45 - 49,H,196506,POP,Number ('000),100.6,
M,Male,5-9,5 - 9,H,196506,POP,Number ('000),264.3,
M,Male,50-54,50 - 54,H,196506,POP,Number ('000),78.5,
M,Male,55-59,55 - 59,H,196506,POP,Number ('000),55.4,
M,Male,60-64,60 - 64,H,196506,POP,Number ('000),32,
M,Male,65-69,65 - 69,H,196506,POP,Number ('000),21.6,
M,Male,70-74,70 - 74,H,196506,POP,Number ('000),10.9,
M,Male,75-79,75 - 79,H,196506,POP,Number ('000),6.1,
M,Male,80-84,80 - 84,H,196506,POP,Number ('000),2.1,
M,Male,85+,≥85,H,196506,POP,Number ('000),1.5,
,Total,,Total,H,196512,POP,Number ('000),3625.4,
F,Female,,Total,H,196512,POP,Number ('000),,N.A.
M,Male,,Total,H,196512,POP,Number ('000),,N.A.
,Total,,Total,H,196606,POP,Number ('000),3629.9,
,Total,0-4,0 - 4,H,196606,POP,Number ('000),516.7,
,Total,10-14,10 - 14,H,196606,POP,Number ('000),437.8,
,Total,15-19,15 - 19,H,196606,POP,Number ('000),327.1,
,Total,20-24,20 - 24,H,196606,POP,Number ('000),193.2,
,Total,25-29,25 - 29,H,196606,POP,Number ('000),199.5,
,Total,30-34,30 - 34,H,196606,POP,Number ('000),244.7,
,Total,35-39,35 - 39,H,196606,POP,Number ('000),254,
,Total,40-44,40 - 44,H,196606,POP,Number ('000),222.2,
,Total,45-49,45 - 49,H,196606,POP,Number ('000),196.8,
,Total,5-9,5 - 9,H,196606,POP,Number ('000),530.2,
,Total,50-54,50 - 54,H,196606,POP,Number ('000),160.1,
,Total,55-59,55 - 59,H,196606,POP,Number ('000),126.1,
,Total,60-64,60 - 64,H,196606,POP,Number ('000),83.2,
,Total,65-69,65 - 69,H,196606,POP,Number ('000),63.4,
,Total,70-74,70 - 74,H,196606,POP,Number ('000),37.5,
,Total,75-79,75 - 79,H,196606,POP,Number ('000),22.5,
,Total,80-84,80 - 84,H,196606,POP,Number ('000),9.2,
,Total,85+,≥85,H,196606,POP,Number ('000),5.7,
F,Female,,Total,H,196606,POP,Number ('000),1811.1,
F,Female,0-4,0 - 4,H,196606,POP,Number ('000),252.8,
F,Female,10-14,10 - 14,H,196606,POP,Number ('000),214.1,
F,Female,15-19,15 - 19,H,196606,POP,Number ('000),162.1,
F,Female,20-24,20 - 24,H,196606,POP,Number ('000),92.2,
F,Female,25-29,25 - 29,H,196606,POP,Number ('000),92.8,
F,Female,30-34,30 - 34,H,196606,POP,Number ('000),117.8,
F,Female,35-39,35 - 39,H,196606,POP,Number ('000),123.6,
F,Female,40-44,40 - 44,H,196606,POP,Number ('000),108.7,
F,Female,45-49,45 - 49,H,196606,POP,Number ('000),95.6,
F,Female,5-9,5 - 9,H,196606,POP,Number ('000),259,
F,Female,50-54,50 - 54,H,196606,POP,Number ('000),80.9,
F,Female,55-59,55 - 59,H,196606,POP,Number ('000),67.2,
F,Female,60-64,60 - 64,H,196606,POP,Number ('000),50.5,
F,Female,65-69,65 - 69,H,196606,POP,Number ('000),40.5,
F,Female,70-74,70 - 74,H,196606,POP,Number ('000),26.2,
F,Female,75-79,75 - 79,H,196606,POP,Number ('000),16,
F,Female,80-84,80 - 84,H,196606,POP,Number ('000),6.9,
F,Female,85+,≥85,H,196606,POP,Number ('000),4.2,
M,Male,,Total,H,196606,POP,Number ('000),1818.8,
M,Male,0-4,0 - 4,H,196606,POP,Number ('000),263.9,
M,Male,10-14,10 - 14,H,196606,POP,Number ('000),223.7,
M,Male,15-19,15 - 19,H,196606,POP,Number ('000),165,
M,Male,20-24,20 - 24,H,196606,POP,Number ('000),101,
M,Male,25-29,25 - 29,H,196606,POP,Number ('000),106.7,
M,Male,30-34,30 - 34,H,196606,POP,Number ('000),126.9,
M,Male,35-39,35 - 39,H,196606,POP,Number ('000),130.4,
M,Male,40-44,40 - 44,H,196606,POP,Number ('000),113.5,
M,Male,45-49,45 - 49,H,196606,POP,Number ('000),101.2,
M,Male,5-9,5 - 9,H,196606,POP,Number ('000),271.2,
M,Male,50-54,50 - 54,H,196606,POP,Number ('000),79.2,
M,Male,55-59,55 - 59,H,196606,POP,Number ('000),58.9,
M,Male,60-64,60 - 64,H,196606,POP,Number ('000),32.7,
M,Male,65-69,65 - 69,H,196606,POP,Number ('000),22.9,
M,Male,70-74,70 - 74,H,196606,POP,Number ('000),11.3,
M,Male,75-79,75 - 79,H,196606,POP,Number ('000),6.5,
M,Male,80-84,80 - 84,H,196606,POP,Number ('000),2.3,
M,Male,85+,≥85,H,196606,POP,Number ('000),1.5,
,Total,,Total,H,196612,POP,Number ('000),3679.4,
F,Female,,Total,H,196612,POP,Number ('000),,N.A.
M,Male,,Total,H,196612,POP,Number ('000),,N.A.
,Total,,Total,H,196706,POP,Number ('000),3722.8,
,Total,0-4,0 - 4,H,196706,POP,Number ('000),491.8,
,Total,10-14,10 - 14,H,196706,POP,Number ('000),458.1,
,Total,15-19,15 - 19,H,196706,POP,Number ('000),356,
,Total,20-24,20 - 24,H,196706,POP,Number ('000),214.1,
,Total,25-29,25 - 29,H,196706,POP,Number ('000),196.6,
,Total,30-34,30 - 34,H,196706,POP,Number ('000),239.5,
,Total,35-39,35 - 39,H,196706,POP,Number ('000),258.3,
,Total,40-44,40 - 44,H,196706,POP,Number ('000),229.5,
,Total,45-49,45 - 49,H,196706,POP,Number ('000),203.8,
,Total,5-9,5 - 9,H,196706,POP,Number ('000),539.5,
,Total,50-54,50 - 54,H,196706,POP,Number ('000),166.9,
,Total,55-59,55 - 59,H,196706,POP,Number ('000),133.6,
,Total,60-64,60 - 64,H,196706,POP,Number ('000),88.4,
,Total,65-69,65 - 69,H,196706,POP,Number ('000),66.6,
,Total,70-74,70 - 74,H,196706,POP,Number ('000),40.1,
,Total,75-79,75 - 79,H,196706,POP,Number ('000),23.8,
,Total,80-84,80 - 84,H,196706,POP,Number ('000),10.3,
,Total,85+,≥85,H,196706,POP,Number ('000),5.9,
F,Female,,Total,H,196706,POP,Number ('000),1849.4,
F,Female,0-4,0 - 4,H,196706,POP,Number ('000),240.1,
F,Female,10-14,10 - 14,H,196706,POP,Number ('000),223.5,
F,Female,15-19,15 - 19,H,196706,POP,Number ('000),176.1,
F,Female,20-24,20 - 24,H,196706,POP,Number ('000),101.7,
F,Female,25-29,25 - 29,H,196706,POP,Number ('000),90,
F,Female,30-34,30 - 34,H,196706,POP,Number ('000),113.8,
F,Female,35-39,35 - 39,H,196706,POP,Number ('000),124.8,
F,Female,40-44,40 - 44,H,196706,POP,Number ('000),111.8,
F,Female,45-49,45 - 49,H,196706,POP,Number ('000),98.4,
F,Female,5-9,5 - 9,H,196706,POP,Number ('000),263.9,
F,Female,50-54,50 - 54,H,196706,POP,Number ('000),83.4,
F,Female,55-59,55 - 59,H,196706,POP,Number ('000),70.1,
F,Female,60-64,60 - 64,H,196706,POP,Number ('000),52.6,
F,Female,65-69,65 - 69,H,196706,POP,Number ('000),42.2,
F,Female,70-74,70 - 74,H,196706,POP,Number ('000),27.9,
F,Female,75-79,75 - 79,H,196706,POP,Number ('000),17,
F,Female,80-84,80 - 84,H,196706,POP,Number ('000),7.7,
F,Female,85+,≥85,H,196706,POP,Number ('000),4.4,
M,Male,,Total,H,196706,POP,Number ('000),1873.4,
M,Male,0-4,0 - 4,H,196706,POP,Number ('000),251.7,
M,Male,10-14,10 - 14,H,196706,POP,Number ('000),234.6,
M,Male,15-19,15 - 19,H,196706,POP,Number ('000),179.9,
M,Male,20-24,20 - 24,H,196706,POP,Number ('000),112.4,
M,Male,25-29,25 - 29,H,196706,POP,Number ('000),106.6,
M,Male,30-34,30 - 34,H,196706,POP,Number ('000),125.7,
M,Male,35-39,35 - 39,H,196706,POP,Number ('000),133.5,
M,Male,40-44,40 - 44,H,196706,POP,Number ('000),117.7,
M,Male,45-49,45 - 49,H,196706,POP,Number ('000),105.4,
M,Male,5-9,5 - 9,H,196706,POP,Number ('000),275.6,
M,Male,50-54,50 - 54,H,196706,POP,Number ('000),83.5,
M,Male,55-59,55 - 59,H,196706,POP,Number ('000),63.5,
M,Male,60-64,60 - 64,H,196706,POP,Number ('000),35.8,
M,Male,65-69,65 - 69,H,196706,POP,Number ('000),24.4,
M,Male,70-74,70 - 74,H,196706,POP,Number ('000),12.2,
M,Male,75-79,75 - 79,H,196706,POP,Number ('000),6.8,
M,Male,80-84,80 - 84,H,196706,POP,Number ('000),2.6,
M,Male,85+,≥85,H,196706,POP,Number ('000),1.5,
,Total,,Total,H,196712,POP,Number ('000),3760.6,
F,Female,,Total,H,196712,POP,Number ('000),,N.A.
M,Male,,Total,H,196712,POP,Number ('000),,N.A.
,Total,,Total,H,196806,POP,Number ('000),3802.7,
,Total,0-4,0 - 4,H,196806,POP,Number ('000),466.3,
,Total,10-14,10 - 14,H,196806,POP,Number ('000),478.8,
