route,bound,service_type,orig_en,orig_tc,orig_sc,dest_en,dest_tc,dest_sc,data_timestamp
3C,O,1,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHINA FERRY TERMINAL,中港碼頭,中港码头,
3C,I,1,CHINA FERRY TERMINAL,中港碼頭,中港码头,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
3D,O,1,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
3D,O,2,TSZ WAN SHAN (SOUTH),慈雲山(南),慈云山(南),KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
3D,O,3,CHING HONG HOUSE,正康樓,正康楼,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
3D,I,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
3D,I,2,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),TSZ WAN SHAN (SOUTH),慈雲山(南),慈云山(南),
3M,O,1,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHOI WAN,彩雲,彩云,
3M,I,1,CHOI WAN,彩雲,彩云,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
3M,I,2,CHOI WAN,彩雲,彩云,TSZ WAN SHAN (SOUTH),慈雲山(南),慈云山(南),
3S,O,1,DIAMOND HILL STATION,鑽石山站,钻石山站,DIAMOND HILL CEMETERY (CIRCULAR),鑽石山墳場(循環線),钻石山坟场(循环线),
3X,O,1,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHINA FERRY TERMINAL,中港碼頭,中港码头,
3X,O,2,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHINA FERRY TERMINAL,中港碼頭,中港码头,
3X,I,1,CHINA FERRY TERMINAL,中港碼頭,中港码头,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
5,O,1,FU SHAN ESTATE,富山邨,富山邨,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
5,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,FU SHAN ESTATE,富山邨,富山邨,
5A,O,1,KAI TAK (KAI CHING ESTATE),啟德(啟晴邨),启德(启晴邨),STAR FERRY,尖沙咀碼頭,尖沙咀码头,
5A,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,KAI TAK (KAI CHING ESTATE),啟德(啟晴邨),启德(启晴邨),
5C,O,1,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),STAR FERRY,尖沙咀碼頭,尖沙咀码头,
5C,O,2,YUK WAH STREET,毓華街,毓华街,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
5C,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
5C,I,2,STAR FERRY,尖沙咀碼頭,尖沙咀码头,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
5D,O,1,TELFORD GARDENS,德福花園,德福花园,HUNG HOM (CIRCULAR),紅磡(循環線),红磡(循环线),
5M,O,1,KAI TAK (TAK LONG ESTATE),啟德(德朗邨),启德(德朗邨),KOWLOON BAY STATION (CIRCULAR),九龍灣站(循環線),九龙湾站(循环线),
5P,O,1,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),STAR FERRY,尖沙咀碼頭,尖沙咀码头,
5P,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
5R,O,1,KAI TAK CRUISE TERMINAL,啟德郵輪碼頭,启德邮轮码头,KWUN TONG (apm) (CIRCULAR),觀塘 (apm) (循環線),观塘 (apm) (循环线),
5R,O,2,KAI TAK CRUISE TERMINAL,啟德郵輪碼頭,启德邮轮码头,KWUN TONG (apm),觀塘 (apm),观塘 (apm),
5R,O,3,NGAU TAU KOK STATION,牛頭角站,牛头角站,KAI TAK CRUISE TERMINAL,啟德郵輪碼頭,启德邮轮码头,
6,O,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,LAI CHI KOK,荔枝角,荔枝角,
6,I,1,LAI CHI KOK,荔枝角,荔枝角,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
6C,O,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,MEI FOO,美孚,美孚,
6C,I,1,MEI FOO,美孚,美孚,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
6D,O,1,NGAU TAU KOK,牛頭角,牛头角,MEI FOO,美孚,美孚,
6D,I,1,MEI FOO,美孚,美孚,NGAU TAU KOK,牛頭角,牛头角,
6E,O,1,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
6E,I,1,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),
6F,O,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,CHEUNG SHA WAN (LAI KOK ESTATE),長沙灣(麗閣邨),长沙湾(丽阁邨),
6F,I,1,CHEUNG SHA WAN (LAI KOK ESTATE),長沙灣(麗閣邨),长沙湾(丽阁邨),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
6P,O,1,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
6P,I,1,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),
6R,O,1,MEI FOO (MEI LAI ROAD),美孚(美荔道),美孚(美荔道),NGONG SHUEN CHAU BARRACKS (CIRCULAR),昂船洲軍營(循環線),昂船洲军营(循环线),
7,O,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,LOK FU,樂富,乐富,
7,I,1,LOK FU,樂富,乐富,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
7B,O,1,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),LOK FU,樂富,乐富,
7B,I,1,LOK FU,樂富,乐富,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
7M,O,1,LOK FU,樂富,乐富,CHUK YUEN ESTATE (CIRCULAR),竹園邨(循環線),竹园邨(循环线),
8,O,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,KOWLOON STATION,九龍站,九龙站,
8,I,1,KOWLOON STATION,九龍站,九龙站,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
8A,O,1,WHAMPOA GARDEN,黃埔花園,黄埔花园,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
8P,O,1,LAGUNA VERDE,海逸豪園,海逸豪园,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
9,O,1,CHOI FOOK,彩福,彩福,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
9,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),CHOI FOOK,彩福,彩福,
10,O,1,CHOI WAN,彩雲,彩云,TAI KOK TSUI (CIRCULAR),大角咀(循環線),大角咀(循环线),
11,O,1,DIAMOND HILL STATION,鑽石山站,钻石山站,KOWLOON STATION,九龍站,九龙站,
11,I,1,KOWLOON STATION,九龍站,九龙站,DIAMOND HILL STATION,鑽石山站,钻石山站,
11B,O,1,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
11B,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),
11C,O,1,CHUK YUEN ESTATE,竹園邨,竹园邨,SAU MAU PING (UPPER),上秀茂坪,上秀茂坪,
11C,I,1,SAU MAU PING (UPPER),上秀茂坪,上秀茂坪,CHUK YUEN ESTATE,竹園邨,竹园邨,
11D,O,1,LOK FU,樂富,乐富,KWUN TONG FERRY,觀塘碼頭,观塘码头,
11D,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,LOK FU,樂富,乐富,
11K,O,1,CHUK YUEN ESTATE,竹園邨,竹园邨,HUNG HOM STATION,紅磡站,红磡站,
11K,I,1,HUNG HOM STATION,紅磡站,红磡站,CHUK YUEN ESTATE,竹園邨,竹园邨,
11X,O,1,ON TAI (NORTH),安泰(北),安泰(北),HUNG HOM STATION,紅磡站,红磡站,
11X,I,1,HUNG HOM STATION,紅磡站,红磡站,ON TAI (NORTH),安泰(北),安泰(北),
12,O,1,HOI LAI ESTATE,海麗邨,海丽邨,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
12,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),HOI LAI ESTATE,海麗邨,海丽邨,
12A,O,1,WHAMPOA GARDEN,黃埔花園,黄埔花园,CHEUNG SHA WAN (HOI TAT ESTATE),長沙灣(海達邨),长沙湾(海达邨),
12A,I,1,CHEUNG SHA WAN (HOI TAT ESTATE),長沙灣(海達邨),长沙湾(海达邨),WHAMPOA GARDEN,黃埔花園,黄埔花园,
12P,O,1,Hoi Lai Estate,海麗邨,海丽邨,Hung Hom Station,紅磡站,红磡站,
13,O,1,ANDERSON,安達臣,安达臣,SHAM SHUI PO (YEN CHOW ST),深水埗(欽州街),深水埗(钦州街),
13,I,1,SHAM SHUI PO (YEN CHOW ST),深水埗(欽州街),深水埗(钦州街),ANDERSON,安達臣,安达臣,
13D,O,1,PO TAT,寶達,宝达,ISLAND HARBOURVIEW,維港灣,维港湾,
13D,O,2,PO TAT,寶達,宝达,ISLAND HARBOURVIEW,維港灣,维港湾,
13D,I,1,ISLAND HARBOURVIEW,維港灣,维港湾,PO TAT,寶達,宝达,
13M,O,1,KWUN TONG (ELEGANCE ROAD),觀塘(雅麗道),观塘(雅丽道),PO TAT (CIRCULAR),寶達(循環線),宝达(循环线),
13M,O,2,PO TAT,寶達,宝达,KWUN TONG STATION,觀塘站,观塘站,
13P,O,1,PO TAT,寶達,宝达,CHEUNG SHA WAN (LAI KOK ESTATE),長沙灣(麗閣邨),长沙湾(丽阁邨),
13X,O,1,PO TAT,寶達,宝达,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
13X,O,2,PO TAT,寶達,宝达,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
13X,O,3,CHOI FOOK,彩褔,彩褔,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
13X,O,5,PO TAT,寶達,宝达,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
13X,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,PO TAT,寶達,宝达,
13X,I,2,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,PO TAT,寶達,宝达,
14,O,1,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,CHINA FERRY TERMINAL,中港碼頭,中港码头,
14,I,1,CHINA FERRY TERMINAL,中港碼頭,中港码头,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
14B,O,1,NGAU TAU KOK,牛頭角,牛头角,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
14B,O,3,LOK WAH,樂華,乐华,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
14B,I,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),NGAU TAU KOK,牛頭角,牛头角,
14D,O,1,YAU TONG,油塘,油塘,CHOI HUNG,彩虹,彩虹,
14D,O,2,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),CHOI HUNG,彩虹,彩虹,
14D,I,1,CHOI HUNG,彩虹,彩虹,YAU TONG,油塘,油塘,
14H,O,1,YAU TONG,油塘,油塘,SHUN LEE (CIRCULAR),順利(循環線),顺利(循环线),
14S,O,1,YAU TONG,油塘,油塘,TSEUNG KWAN O CHINESE PERMANENT CEMETERY(CIRCULAR),將軍澳墳場(循環線),将军澳坟场(循环线),
14X,O,1,YAU TONG (SHUNG TAK WAI),油塘(崇德圍),油塘(崇德围),TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
15,O,1,PING TIN,平田,平田,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
15,I,1,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),PING TIN,平田,平田,
15A,O,1,PING TIN,平田,平田,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
15A,I,1,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),PING TIN,平田,平田,
15X,O,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),HUNG HOM STATION,紅磡站,红磡站,
15X,I,1,HUNG HOM STATION,紅磡站,红磡站,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
16,O,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
16,O,2,PING TIN,平田,平田,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
16,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
16M,O,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),LAM TIN (HONG WAH COURT) (CIRCULAR),藍田(康華苑)(循環線),蓝田(康华苑)(循环线),
16P,O,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
16P,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),KWUN TONG FERRY,觀塘碼頭,观塘码头,
16X,O,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
16X,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
17,O,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),HO MAN TIN (OI MAN ESTATE),何文田(愛民邨),何文田(爱民邨),
17,O,2,KOWLOON BAY STATION,九龍灣站,九龙湾站,HO MAN TIN (OI MAN ESTATE),何文田(愛民邨),何文田(爱民邨),
17,O,3,PRINCE EDWARD ROAD EAST (RICHLAND GARDENS),太子道東(麗晶花園),太子道东(丽晶花园),HO MAN TIN (OI MAN ESTATE),何文田(愛民邨),何文田(爱民邨),
17,I,1,HO MAN TIN (OI MAN ESTATE),何文田(愛民邨),何文田(爱民邨),KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
18,O,1,CHEUNG SHA WAN (HOI TAT ESTATE),長沙灣(海達邨),长沙湾(海达邨),OI MAN (CIRCULAR),愛民(循環線),爱民(循环线),
19,O,1,ANDERSON,安達臣,安达臣,DIAMOND HILL (KAI CHEUNG COURT),鑽石山(啟翔苑),钻石山(启翔苑),
19,I,1,DIAMOND HILL (KAI CHEUNG COURT),鑽石山(啟翔苑),钻石山(启翔苑),ANDERSON,安達臣,安达臣,
21,O,1,CHOI WAN,彩雲,彩云,HUNG HOM STATION,紅磡站,红磡站,
21,I,1,HUNG HOM STATION,紅磡站,红磡站,CHOI WAN,彩雲,彩云,
23,O,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,SHUN LEE (CIRCULAR),順利(循環線),顺利(循环线),
23,O,2,SHUN TIN,順天,顺天,KWUN TONG FERRY,觀塘碼頭,观塘码头,
23M,O,1,LOK WAH,樂華,乐华,SHUN LEE (CIRCULAR),順利(循環線),顺利(循环线),
23M,O,2,LOK WAH,樂華,乐华,SHUN LEE (CIRCULAR),順利(循環線),顺利(循环线),
24,O,1,KAI YIP,啟業,启业,MONG KOK (CIRCULAR),旺角(循環線),旺角(循环线),
24,O,2,KAI YIP,啟業,启业,MONG KOK (CIRCULAR),旺角(循環線),旺角(循环线),
24,O,3,KAI YIP,啟業,启业,MONG KOK (CIRCULAR),旺角(循環線),旺角(循环线),
25R,O,1,KAI TAK CRUISE TERMINAL,啟德郵輪碼頭,启德邮轮码头,apm MILLENNIUM CITY 5,apm創紀之城5期,apm创纪之城5期,
26,O,1,SHUN TIN,順天,顺天,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
26,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,SHUN TIN,順天,顺天,
26M,O,1,CHOI HUNG,彩虹,彩虹,KWUN TONG (CIRCULAR),觀塘(循環線),观塘(循环线),
26X,O,1,SHUN TIN,順天,顺天,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
26X,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,SHUN TIN,順天,顺天,
27,O,1,SHUN TIN,順天,顺天,MONG KOK (CIRCULAR),旺角(循環線),旺角(循环线),
27X,O,1,SHUN TIN,順天,顺天,OLYMPIC STATION,奧運站,奥运站,
27X,I,1,OLYMPIC STATION,奧運站,奥运站,SHUN TIN,順天,顺天,
28,O,1,LOK WAH,樂華,乐华,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
28,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,LOK WAH,樂華,乐华,
28B,O,1,CHOI FOOK,彩福,彩福,KAI TAK (KAI CHING ESTATE),啟德(啟晴邨),启德(启晴邨),
28B,I,1,KAI TAK (KAI CHING ESTATE),啟德(啟晴邨),启德(启晴邨),CHOI FOOK,彩福,彩福,
28B,I,2,KAI TAK (KAI CHING ESTATE),啟德(啟晴邨),启德(启晴邨),CHOI FOOK,彩福,彩福,
28S,O,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),LOK WAH,樂華,乐华,
29M,O,1,SHUN LEE,順利,顺利,SAN PO KONG (CIRCULAR),新蒲崗(循環線),新蒲岗(循环线),
30,O,1,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),CHEUNG SHA WAN,長沙灣,长沙湾,
30,I,1,CHEUNG SHA WAN,長沙灣,长沙湾,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),
30X,O,1,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),WHAMPOA GARDEN,黃埔花園,黄埔花园,
30X,I,1,WHAMPOA GARDEN,黃埔花園,黄埔花园,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),
30X,I,2,WHAMPOA GARDEN,黃埔花園,黄埔花园,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),
31,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,SHEK LEI (CIRCULAR),石籬(循環線),石篱(循环线),
31A,O,1,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,SHEK LEI (TAI LOONG STREET),石籬(大隴街),石篱(大陇街),
31B,O,1,SHEK LEI (TAI LOONG STREET),石籬(大隴街),石篱(大陇街),OLYMPIC STATION,奧運站,奥运站,
31B,I,1,OLYMPIC STATION,奧運站,奥运站,SHEK LEI (TAI LOONG STREET),石籬(大隴街),石篱(大陇街),
31M,O,1,SHEK LEI (LEI PUI ST),石籬(梨貝街),石篱(梨贝街),KWAI FONG STATION,葵芳站,葵芳站,
31M,I,1,KWAI FONG STATION,葵芳站,葵芳站,SHEK LEI (LEI PUI ST),石籬(梨貝街),石篱(梨贝街),
31P,O,1,SHEK LEI COMMERCIAL COMPLEX,石籬商場,石篱商场,KWAI FONG STATION,葵芳站,葵芳站,
32,O,1,TSUEN WAN (SHEK WAI KOK),荃灣(石圍角),荃湾(石围角),OLYMPIC STATION,奧運站,奥运站,
32,I,1,OLYMPIC STATION,奧運站,奥运站,TSUEN WAN (SHEK WAI KOK),荃灣(石圍角),荃湾(石围角),
32H,O,1,CHEUNG SHAN,象山,象山,LAI CHI KOK,荔枝角,荔枝角,
32H,I,1,LAI CHI KOK,荔枝角,荔枝角,CHEUNG SHAN,象山,象山,
32M,O,1,KWAI FONG STATION,葵芳站,葵芳站,CHEUNG SHAN (CIRCULAR),象山(循環線),象山(循环线),
32P,O,1,TSUEN WAN (CASTLE PEAK ROAD),荃灣(青山公路),荃湾(青山公路),YUEN YUEN INSTITUTE,圓玄學院,圆玄学院,
32P,I,1,YUEN YUEN INSTITUTE,圓玄學院,圆玄学院,TSUEN WAN (CASTLE PEAK ROAD),荃灣(青山公路),荃湾(青山公路),
33,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,YAU TONG,油塘,油塘,
33,I,1,YAU TONG,油塘,油塘,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
33A,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
33A,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
33B,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,YAU TONG,油塘,油塘,
33B,I,1,YAU TONG,油塘,油塘,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
33R,O,1,TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),PAK TAM CHUNG,北潭涌,北潭涌,
33R,I,1,PAK TAM CHUNG,北潭涌,北潭涌,TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),
34,O,1,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),
34,I,1,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),KWAI SHING (CENTRAL),葵盛(中),葵盛(中),
34,I,2,"FU ON HOUSE, TAI WO HAU ROAD",大窩口道富安樓,大窝口道富安楼,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),
34M,O,1,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),TSUEN WAN STATION (CIRCULAR),荃灣站(循環線),荃湾站(循环线),
35A,O,1,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
35A,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),
35X,O,1,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
35X,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),
36,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,LEI MUK SHUE (CIRCULAR),梨木樹(循環線),梨木树(循环线),
36,O,2,LEI MUK SHUE,梨木樹,梨木树,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
36A,O,1,LEI MUK SHUE,梨木樹,梨木树,CHEUNG SHA WAN (HOI TAT ESTATE)(Circular),長沙灣(海達邨)(循環線),长沙湾(海达邨)(循环线),
36B,O,1,LEI MUK SHUE,梨木樹,梨木树,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
36B,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),LEI MUK SHUE,梨木樹,梨木树,
36M,O,1,LEI MUK SHUE,梨木樹,梨木树,KWAI FONG STATION,葵芳站,葵芳站,
36M,I,1,KWAI FONG STATION,葵芳站,葵芳站,LEI MUK SHUE,梨木樹,梨木树,
36R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,SHEK WAI KOK,石圍角,石围角,
36X,O,1,LEI MUK SHUE,梨木樹,梨木树,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
