datetime,Ta Kwu Ling,Lau Fau Shan,Sha Tin,Tsing Yi,Kai Tak,Cheung Chau,Sai Kung,Chek Lap Kok
2023-07-17 09:00:00,23.0,24.0,21.0,33.0,35.0,66.0,43.0,45.0
2023-07-17 09:10:00,22.0,35.0,22.0,30.0,36.0,71.0,41.0,44.0
2023-07-17 09:20:00,19.0,40.0,17.0,26.0,33.0,76.0,44.0,44.0
2023-07-17 09:30:00,21.0,33.0,14.0,26.0,32.0,73.0,40.0,44.0
2023-07-17 09:40:00,28.0,34.0,14.0,25.0,30.0,71.0,40.0,36.0
2023-07-17 09:50:00,23.0,18.0,9.0,26.0,30.0,76.0,30.0,42.0
2023-07-17 10:00:00,22.0,30.0,12.0,25.0,30.0,72.0,31.0,41.0
2023-07-17 10:10:00,23.0,26.0,9.0,26.0,25.0,72.0,35.0,40.0
2023-07-17 10:20:00,22.0,30.0,9.0,28.0,28.0,75.0,31.0,43.0
2023-07-17 10:30:00,22.0,33.0,14.0,30.0,27.0,66.0,29.0,41.0
2023-07-17 10:40:00,21.0,26.0,14.0,23.0,28.0,62.0,28.0,40.0
2023-07-17 10:50:00,22.0,23.0,10.0,27.0,27.0,65.0,29.0,40.0
2023-07-17 11:00:00,19.0,25.0,10.0,26.0,30.0,68.0,28.0,40.0
2023-07-17 11:10:00,19.0,25.0,12.0,24.0,30.0,71.0,29.0,42.0
2023-07-17 11:20:00,18.0,18.0,12.0,24.0,32.0,77.0,27.0,38.0
2023-07-17 11:30:00,22.0,22.0,12.0,24.0,25.0,72.0,30.0,39.0
2023-07-17 11:40:00,20.0,26.0,12.0,28.0,26.0,75.0,34.0,46.0
2023-07-17 11:50:00,22.0,22.0,7.0,26.0,30.0,72.0,33.0,42.0
2023-07-17 12:00:00,19.0,20.0,11.0,19.0,24.0,71.0,24.0,42.0
2023-07-17 12:10:00,22.0,24.0,11.0,28.0,28.0,78.0,26.0,42.0
2023-07-17 12:20:00,23.0,21.0,11.0,27.0,29.0,75.0,25.0,44.0
2023-07-17 12:30:00,18.0,28.0,9.0,25.0,28.0,77.0,30.0,46.0
2023-07-17 12:40:00,22.0,31.0,12.0,18.0,27.0,73.0,28.0,48.0
2023-07-17 12:50:00,29.0,23.0,12.0,23.0,30.0,73.0,25.0,48.0
2023-07-17 13:00:00,17.0,23.0,10.0,18.0,27.0,73.0,27.0,44.0
2023-07-17 13:10:00,22.0,26.0,12.0,14.0,28.0,75.0,33.0,48.0
2023-07-17 13:20:00,19.0,24.0,12.0,25.0,32.0,80.0,27.0,45.0
2023-07-17 13:30:00,22.0,17.0,10.0,23.0,29.0,79.0,31.0,42.0
2023-07-17 13:40:00,18.0,19.0,7.0,28.0,30.0,72.0,28.0,46.0
2023-07-17 13:50:00,26.0,26.0,11.0,34.0,30.0,79.0,30.0,43.0
2023-07-17 14:00:00,19.0,23.0,11.0,33.0,28.0,87.0,31.0,48.0
2023-07-17 14:10:00,24.0,26.0,11.0,34.0,33.0,86.0,29.0,55.0
2023-07-17 14:20:00,26.0,35.0,12.0,30.0,34.0,84.0,26.0,54.0
2023-07-17 14:30:00,19.0,32.0,14.0,28.0,35.0,81.0,27.0,54.0
2023-07-17 14:40:00,28.0,26.0,10.0,24.0,30.0,80.0,30.0,48.0
2023-07-17 14:50:00,24.0,23.0,19.0,26.0,33.0,78.0,33.0,46.0
2023-07-17 15:00:00,27.0,27.0,18.0,32.0,34.0,77.0,32.0,45.0
2023-07-17 15:10:00,30.0,25.0,12.0,33.0,36.0,77.0,30.0,50.0
2023-07-17 15:20:00,31.0,28.0,14.0,32.0,36.0,70.0,32.0,51.0
2023-07-17 15:30:00,30.0,23.0,18.0,36.0,35.0,82.0,28.0,48.0
2023-07-17 15:40:00,27.0,23.0,11.0,29.0,35.0,80.0,30.0,54.0
2023-07-17 15:50:00,30.0,26.0,12.0,29.0,38.0,78.0,37.0,54.0
2023-07-17 16:00:00,29.0,27.0,18.0,31.0,33.0,76.0,38.0,48.0
2023-07-17 16:10:00,29.0,24.0,17.0,28.0,33.0,73.0,41.0,50.0
2023-07-17 16:20:00,28.0,21.0,20.0,26.0,39.0,76.0,37.0,51.0
