kmb_route,citybus_route,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,origin_match,dest_match,cross_match,match_type
1A,4,SAU MAU PING (CENTRAL),STAR FERRY,Wong Chuk Hang / Wah Fu (South),Central,False,False,True,name_similarity
1A,88R,SAU MAU PING (CENTRAL),STAR FERRY,City One Shatin,Central,False,False,True,name_similarity
1A,H2,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,False,True,False,name_similarity
1A,1P,STAR FERRY,SAU MAU PING (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,False,True,False,name_similarity
1A,37A,STAR FERRY,SAU MAU PING (CENTRAL),Chi Fu Fa Yuen,Central,False,True,False,name_similarity
1A,3A,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Felix Villas,True,False,False,name_similarity
1A,4,STAR FERRY,SAU MAU PING (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,False,True,False,name_similarity
1A,629,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Ocean Park (Main Entrance / Water World),True,False,False,name_similarity
1A,88R,STAR FERRY,SAU MAU PING (CENTRAL),City One Shatin,Central,False,True,False,name_similarity
1A,H1,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,False,name_similarity
1A,H1S,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
1A,H2,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,True,name_similarity
1A,H2K,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
1A,N21,STAR FERRY,SAU MAU PING (CENTRAL),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),True,False,False,name_similarity
1A,N21A,STAR FERRY,SAU MAU PING (CENTRAL),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),True,False,False,name_similarity
1A,X15,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),The Peak,True,False,False,name_similarity
1A,X9,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Shek O,True,False,False,name_similarity
2,112,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),North Point (Pak Fuk Road),So Uk Estate,False,True,False,name_similarity
2,3A,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central (Star Ferry),Felix Villas,True,False,False,name_similarity
2,629,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central (Star Ferry),Ocean Park (Main Entrance / Water World),True,False,False,name_similarity
2,793,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Tseung Kwan O Industrial Estate,So Uk,False,True,False,name_similarity
2,970,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Cyberport,So Uk Estate,False,True,False,name_similarity
2,H1,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,False,name_similarity
2,H1S,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
2,H2,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,True,name_similarity
2,H2K,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
2,N21,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),True,False,False,name_similarity
2,N21A,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),True,False,False,name_similarity
2,X15,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central (Star Ferry),The Peak,True,False,False,name_similarity
2,X9,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),Central (Star Ferry),Shek O,True,False,False,name_similarity
2,112,CHEUNG SHA WAN (SO UK ESTATE),STAR FERRY,North Point (Pak Fuk Road),So Uk Estate,False,False,True,name_similarity
2,702S,CHEUNG SHA WAN (SO UK ESTATE),STAR FERRY,So Uk Estate,Banyan Garden / Fu Cheong Estate,True,False,False,name_similarity
2,793,CHEUNG SHA WAN (SO UK ESTATE),STAR FERRY,Tseung Kwan O Industrial Estate,So Uk,False,False,True,name_similarity
2,970,CHEUNG SHA WAN (SO UK ESTATE),STAR FERRY,Cyberport,So Uk Estate,False,False,True,name_similarity
2,H2,CHEUNG SHA WAN (SO UK ESTATE),STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,False,True,False,name_similarity
2A,102,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2A,102P,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2A,102R,LOK WAH,MEI FOO,Happy Valley Racecourse,Mei Foo,False,True,False,name_similarity
2A,795X,LOK WAH,MEI FOO,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),False,True,False,name_similarity
2A,N122,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2A,102,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
2A,102P,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
2A,102R,MEI FOO,LOK WAH,Happy Valley Racecourse,Mei Foo,False,False,True,name_similarity
2A,795X,MEI FOO,LOK WAH,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),False,False,True,name_similarity
2A,N122,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
2B,103,CHUK YUEN ESTATE,CHEUNG SHA WAN,Pokfield Road,Chuk Yuen,False,False,True,name_similarity
2B,118,CHUK YUEN ESTATE,CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2B,118P,CHUK YUEN ESTATE,CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2B,20,CHUK YUEN ESTATE,CHEUNG SHA WAN,Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2B,795,CHUK YUEN ESTATE,CHEUNG SHA WAN,Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2B,79X,CHUK YUEN ESTATE,CHEUNG SHA WAN,Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,True,False,name_similarity
2B,970X,CHUK YUEN ESTATE,CHEUNG SHA WAN,Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2B,N118,CHUK YUEN ESTATE,CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2B,X970,CHUK YUEN ESTATE,CHEUNG SHA WAN,South Horizons,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2B,103,CHEUNG SHA WAN,CHUK YUEN ESTATE,Pokfield Road,Chuk Yuen,False,True,False,name_similarity
2B,118,CHEUNG SHA WAN,CHUK YUEN ESTATE,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2B,118P,CHEUNG SHA WAN,CHUK YUEN ESTATE,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2B,20,CHEUNG SHA WAN,CHUK YUEN ESTATE,Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2B,795,CHEUNG SHA WAN,CHUK YUEN ESTATE,Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2B,79X,CHEUNG SHA WAN,CHUK YUEN ESTATE,Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,False,True,name_similarity
2B,970X,CHEUNG SHA WAN,CHUK YUEN ESTATE,Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2B,N118,CHEUNG SHA WAN,CHUK YUEN ESTATE,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2B,X970,CHEUNG SHA WAN,CHUK YUEN ESTATE,South Horizons,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2D,106,CHAK ON ESTATE,WONG TAI SIN,Siu Sai Wan (Island Resort),Wong Tai Sin,False,True,False,name_similarity
2D,106P,CHAK ON ESTATE,WONG TAI SIN,Siu Sai Wan (Island Resort),Wong Tai Sin,False,True,False,name_similarity
2D,106,WONG TAI SIN,CHAK ON ESTATE,Siu Sai Wan (Island Resort),Wong Tai Sin,False,False,True,name_similarity
2D,106A,WONG TAI SIN,CHAK ON ESTATE,Wong Tai Sin,Tai Koo (Kornhill Plaza),True,False,False,name_similarity
2D,106P,WONG TAI SIN,CHAK ON ESTATE,Siu Sai Wan (Island Resort),Wong Tai Sin,False,False,True,name_similarity
2E,115,KOWLOON CITY FERRY,PAK TIN (NORTH),Central (Macau Ferry),Kowloon City Ferry Pier,False,False,True,name_similarity
2E,115,PAK TIN (NORTH),KOWLOON CITY FERRY,Central (Macau Ferry),Kowloon City Ferry Pier,False,True,False,name_similarity
2E,702B,PAK TIN (NORTH),KOWLOON CITY FERRY,Pak Tin (North),Hoi Ying Estate,True,False,False,name_similarity
2F,118,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,118P,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,20,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2F,302,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Sheung Wan,True,False,False,name_similarity
2F,302A,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),North Point (Healthy Village),True,False,False,name_similarity
2F,795,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2F,79X,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,True,False,name_similarity
2F,970X,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2F,A23,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
2F,N118,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,N23,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Tung Chung Station,True,False,False,name_similarity
2F,X970,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,South Horizons,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2F,118,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,118P,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,20,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2F,302,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Sheung Wan,True,False,False,name_similarity
2F,302A,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),North Point (Healthy Village),True,False,False,name_similarity
2F,795,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,True,False,name_similarity
2F,79X,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,True,False,name_similarity
2F,970X,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2F,A23,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
2F,N118,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,True,False,name_similarity
2F,N23,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,Tsz Wan Shan (North),Tung Chung Station,True,False,False,name_similarity
2F,X970,TSZ WAN SHAN (NORTH),CHEUNG SHA WAN,South Horizons,Cheung Sha Wan (Kom Tsun Street),False,True,False,name_similarity
2F,118,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2F,118P,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2F,20,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2F,795,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2F,79X,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,False,True,name_similarity
2F,970X,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2F,N118,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2F,X970,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),South Horizons,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2P,118,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2P,118P,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2P,20,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Kai Tak (Muk On Street),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2P,795,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),False,False,True,name_similarity
2P,79X,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Queen's Hill Fanling,Cheung Sha Wan (Kom Tsun Street) (via: Mong Kok),False,False,True,name_similarity
2P,970X,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Aberdeen,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2P,N118,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),Siu Sai Wan (Island Resort),Cheung Sha Wan (Sham Mong Road),False,False,True,name_similarity
2P,X970,CHEUNG SHA WAN,TSZ WAN SHAN (NORTH),South Horizons,Cheung Sha Wan (Kom Tsun Street),False,False,True,name_similarity
2X,102,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2X,102P,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2X,102R,CHOI FOOK,MEI FOO,Happy Valley Racecourse,Mei Foo,False,True,False,name_similarity
2X,111P,CHOI FOOK,MEI FOO,Choi Fook Estate,Central (Macau Ferry),True,False,False,name_similarity
2X,795X,CHOI FOOK,MEI FOO,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),False,True,False,name_similarity
2X,N122,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,False,True,False,name_similarity
2X,102,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
2X,102P,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
2X,102R,MEI FOO,CHOI FOOK,Happy Valley Racecourse,Mei Foo,False,False,True,name_similarity
2X,795X,MEI FOO,CHOI FOOK,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),False,False,True,name_similarity
2X,N122,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,False,False,True,name_similarity
3B,116,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),False,False,True,name_similarity
3B,15,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central,The Peak,True,False,False,name_similarity
3B,1P,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wong Nai Chung Road (Broadwood Road),Central,False,False,True,name_similarity
3B,37A,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Chi Fu Fa Yuen,Central,False,False,True,name_similarity
3B,4,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wong Chuk Hang / Wah Fu (South),Central,False,False,True,name_similarity
3B,88R,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),City One Shatin,Central,False,False,True,name_similarity
3B,116,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),False,True,False,name_similarity
3B,1P,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,False,True,False,name_similarity
3B,37A,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Chi Fu Fa Yuen,Central,False,True,False,name_similarity
3B,4,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,False,True,False,name_similarity
3B,88R,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),City One Shatin,Central,False,True,False,name_similarity
3B,116,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),False,True,False,name_similarity
3B,1P,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,False,True,False,name_similarity
3B,37A,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Chi Fu Fa Yuen,Central,False,True,False,name_similarity
3B,4,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,False,True,False,name_similarity
3B,88R,HUNG HOM (HUNG LUEN ROAD),TSZ WAN SHAN (CENTRAL),City One Shatin,Central,False,True,False,name_similarity
3C,302,TSZ WAN SHAN (NORTH),CHINA FERRY TERMINAL,Tsz Wan Shan (North),Sheung Wan,True,False,False,name_similarity
3C,302A,TSZ WAN SHAN (NORTH),CHINA FERRY TERMINAL,Tsz Wan Shan (North),North Point (Healthy Village),True,False,False,name_similarity
3C,A23,TSZ WAN SHAN (NORTH),CHINA FERRY TERMINAL,Tsz Wan Shan (North),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
3C,N23,TSZ WAN SHAN (NORTH),CHINA FERRY TERMINAL,Tsz Wan Shan (North),Tung Chung Station,True,False,False,name_similarity
3D,101,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101R,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101X,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,116,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),False,False,True,name_similarity
3D,15,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Central,The Peak,True,False,False,name_similarity
3D,1P,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Wong Nai Chung Road (Broadwood Road),Central,False,False,True,name_similarity
3D,37A,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Chi Fu Fa Yuen,Central,False,False,True,name_similarity
3D,4,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Wong Chuk Hang / Wah Fu (South),Central,False,False,True,name_similarity
3D,78P,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
3D,88R,TSZ WAN SHAN (CENTRAL),KWUN TONG (YUE MAN SQUARE),City One Shatin,Central,False,False,True,name_similarity
3D,101,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101R,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101X,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,78P,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
3D,E23,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Tsz Wan Shan (South),Airport (Ground Transportation Centre),True,False,False,name_similarity
3D,E23A,TSZ WAN SHAN (SOUTH),KWUN TONG (YUE MAN SQUARE),Tsz Wan Shan (South),Airport (via Tung Chung North),True,False,False,name_similarity
3D,101,CHING HONG HOUSE,KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101R,CHING HONG HOUSE,KWUN TONG (YUE MAN SQUARE),Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,101X,CHING HONG HOUSE,KWUN TONG (YUE MAN SQUARE),Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
3D,78P,CHING HONG HOUSE,KWUN TONG (YUE MAN SQUARE),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
3D,101,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Kennedy Town,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,101R,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,101X,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Kennedy Town,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,116,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),False,True,False,name_similarity
3D,1P,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,False,True,False,name_similarity
3D,37A,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Chi Fu Fa Yuen,Central,False,True,False,name_similarity
3D,4,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,False,True,False,name_similarity
3D,78P,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
3D,88R,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (CENTRAL),City One Shatin,Central,False,True,False,name_similarity
3D,101,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (SOUTH),Kennedy Town,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,101R,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (SOUTH),Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,101X,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (SOUTH),Kennedy Town,Kwun Tong (Yue Man Square),False,False,True,name_similarity
3D,78P,KWUN TONG (YUE MAN SQUARE),TSZ WAN SHAN (SOUTH),Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
