kmb_route,citybus_route,area,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,match_type
1A,580,central,SAU MAU PING (CENTRAL),STAR FERRY,GO PARK Sai Sha,Sha Tin Central,geographic_area
1A,6,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Stanley Market,geographic_area
1A,619,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Shun Lee Estate,geographic_area
1A,619P,central,SAU MAU PING (CENTRAL),STAR FERRY,Shun Lee Estate,Central (Macau Ferry),geographic_area
1A,619X,central,SAU MAU PING (CENTRAL),STAR FERRY,Shun Lee Estate,Central (Macau Ferry),geographic_area
1A,621,central,SAU MAU PING (CENTRAL),STAR FERRY,Laguna City,Central (Hong Kong Station),geographic_area
1A,629,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
1A,641,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
1A,66,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
1A,679,central,SAU MAU PING (CENTRAL),STAR FERRY,Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
1A,680X,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
1A,681,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
1A,690,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
1A,690P,central,SAU MAU PING (CENTRAL),STAR FERRY,Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
1A,690S,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
1A,6A,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Stanley Fort (Gate),geographic_area
1A,6X,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Stanley Market,geographic_area
1A,7,central,SAU MAU PING (CENTRAL),STAR FERRY,Shek Pai Wan,Central (Ferry Piers),geographic_area
1A,70,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
1A,70P,central,SAU MAU PING (CENTRAL),STAR FERRY,Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
1A,71,central,SAU MAU PING (CENTRAL),STAR FERRY,Wong Chuk Hang,Central (Rumsey Street),geographic_area
1A,71P,central,SAU MAU PING (CENTRAL),STAR FERRY,Sham Wan,Central (Ferry Piers),geographic_area
1A,720,central,SAU MAU PING (CENTRAL),STAR FERRY,Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
1A,720A,central,SAU MAU PING (CENTRAL),STAR FERRY,Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
1A,720P,central,SAU MAU PING (CENTRAL),STAR FERRY,Taikoo Shing,Central (Wing Wo Street),geographic_area
1A,720X,central,SAU MAU PING (CENTRAL),STAR FERRY,Grand Promenade,Central (Rumsey Street),geographic_area
1A,722,central,SAU MAU PING (CENTRAL),STAR FERRY,Yiu Tung Estate,Central (Ferry Piers),geographic_area
1A,75,central,SAU MAU PING (CENTRAL),STAR FERRY,Sham Wan,Central (Exchange Square),geographic_area
1A,780,central,SAU MAU PING (CENTRAL),STAR FERRY,Chai Wan (East),Central (Ferry Piers),geographic_area
1A,780P,central,SAU MAU PING (CENTRAL),STAR FERRY,Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
1A,788,central,SAU MAU PING (CENTRAL),STAR FERRY,Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
1A,88R,central,SAU MAU PING (CENTRAL),STAR FERRY,City One Shatin,Central,geographic_area
1A,90,central,SAU MAU PING (CENTRAL),STAR FERRY,Ap Lei Chau Estate,Central (Exchange Square),geographic_area
1A,90C,central,SAU MAU PING (CENTRAL),STAR FERRY,Main Street Ap Lei Chau,Central (Jardine House),geographic_area
1A,91,central,SAU MAU PING (CENTRAL),STAR FERRY,Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
1A,94A,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Fu (Central),Lei Tung Estate,geographic_area
1A,97,central,SAU MAU PING (CENTRAL),STAR FERRY,Lei Tung Estate,Central (Exchange Square),geographic_area
1A,979,central,SAU MAU PING (CENTRAL),STAR FERRY,Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
1A,H1,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
1A,H1S,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
1A,H2,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
1A,H2K,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
1A,H3,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
1A,H4,central,SAU MAU PING (CENTRAL),STAR FERRY,Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
1A,N11,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
1A,N121,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Ngau Tau Kok,geographic_area
1A,N170,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Fu (Central),Sha Tin Central,geographic_area
1A,N182,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
1A,N619,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Shun Lee Estate,geographic_area
1A,N680,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
1A,N691,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
1A,N90,central,SAU MAU PING (CENTRAL),STAR FERRY,South Horizons,Central (Macau Ferry),geographic_area
1A,SP10,central,SAU MAU PING (CENTRAL),STAR FERRY,Kai Tak Sports Park,Central (Macau Ferry),geographic_area
1A,X15,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Star Ferry),The Peak,geographic_area
1A,X9,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Star Ferry),Shek O,geographic_area
1A,1,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Happy Valley (Upper),geographic_area
1A,104R,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Ferry Piers),Mong Kok,geographic_area
1A,109,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
1A,11,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Ferry Piers),Jardine's Lookout,geographic_area
1A,111,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Ping Shek Estate,geographic_area
1A,111P,central,STAR FERRY,SAU MAU PING (CENTRAL),Choi Fook Estate,Central (Macau Ferry),geographic_area
1A,115,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
1A,115P,central,STAR FERRY,SAU MAU PING (CENTRAL),Laguna Verde,Central (Macau Ferry),geographic_area
1A,116,central,STAR FERRY,SAU MAU PING (CENTRAL),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
1A,12,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Pier 3,Robinson Road / Park Road,geographic_area
1A,15,central,STAR FERRY,SAU MAU PING (CENTRAL),Central,The Peak,geographic_area
1A,15C,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
1A,170,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Fu (Central),Sha Tin Station,geographic_area
1A,18,central,STAR FERRY,SAU MAU PING (CENTRAL),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
1A,182,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
1A,182X,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
1A,18P,central,STAR FERRY,SAU MAU PING (CENTRAL),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
1A,1P,central,STAR FERRY,SAU MAU PING (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
1A,2,central,STAR FERRY,SAU MAU PING (CENTRAL),Grand Promenade,Central (Macau Ferry),geographic_area
1A,25,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Pier 3/5),Braemar Hill,geographic_area
1A,260,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
1A,307,central,STAR FERRY,SAU MAU PING (CENTRAL),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
1A,37A,central,STAR FERRY,SAU MAU PING (CENTRAL),Chi Fu Fa Yuen,Central,geographic_area
1A,3A,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Felix Villas,geographic_area
1A,4,central,STAR FERRY,SAU MAU PING (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
1A,41A,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Fu (Central),North Point Ferry Pier,geographic_area
1A,4X,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Fu (South),Central (Exchange Square),geographic_area
1A,511,central,STAR FERRY,SAU MAU PING (CENTRAL),Tai Hang Drive,Central (Ferry Piers),geographic_area
1A,580,central,STAR FERRY,SAU MAU PING (CENTRAL),GO PARK Sai Sha,Sha Tin Central,geographic_area
1A,6,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
1A,619,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Shun Lee Estate,geographic_area
1A,619P,central,STAR FERRY,SAU MAU PING (CENTRAL),Shun Lee Estate,Central (Macau Ferry),geographic_area
1A,619X,central,STAR FERRY,SAU MAU PING (CENTRAL),Shun Lee Estate,Central (Macau Ferry),geographic_area
1A,621,central,STAR FERRY,SAU MAU PING (CENTRAL),Laguna City,Central (Hong Kong Station),geographic_area
1A,629,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
1A,641,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
1A,66,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
1A,679,central,STAR FERRY,SAU MAU PING (CENTRAL),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
1A,680X,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
1A,681,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
1A,690,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
1A,690P,central,STAR FERRY,SAU MAU PING (CENTRAL),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
1A,690S,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
1A,6A,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Stanley Fort (Gate),geographic_area
1A,6X,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
1A,7,central,STAR FERRY,SAU MAU PING (CENTRAL),Shek Pai Wan,Central (Ferry Piers),geographic_area
1A,70,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
1A,70P,central,STAR FERRY,SAU MAU PING (CENTRAL),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
1A,71,central,STAR FERRY,SAU MAU PING (CENTRAL),Wong Chuk Hang,Central (Rumsey Street),geographic_area
1A,71P,central,STAR FERRY,SAU MAU PING (CENTRAL),Sham Wan,Central (Ferry Piers),geographic_area
1A,720,central,STAR FERRY,SAU MAU PING (CENTRAL),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
1A,720A,central,STAR FERRY,SAU MAU PING (CENTRAL),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
1A,720P,central,STAR FERRY,SAU MAU PING (CENTRAL),Taikoo Shing,Central (Wing Wo Street),geographic_area
1A,720X,central,STAR FERRY,SAU MAU PING (CENTRAL),Grand Promenade,Central (Rumsey Street),geographic_area
1A,722,central,STAR FERRY,SAU MAU PING (CENTRAL),Yiu Tung Estate,Central (Ferry Piers),geographic_area
1A,75,central,STAR FERRY,SAU MAU PING (CENTRAL),Sham Wan,Central (Exchange Square),geographic_area
1A,780,central,STAR FERRY,SAU MAU PING (CENTRAL),Chai Wan (East),Central (Ferry Piers),geographic_area
1A,780P,central,STAR FERRY,SAU MAU PING (CENTRAL),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
1A,788,central,STAR FERRY,SAU MAU PING (CENTRAL),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
1A,88R,central,STAR FERRY,SAU MAU PING (CENTRAL),City One Shatin,Central,geographic_area
1A,90,central,STAR FERRY,SAU MAU PING (CENTRAL),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
1A,90C,central,STAR FERRY,SAU MAU PING (CENTRAL),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
1A,91,central,STAR FERRY,SAU MAU PING (CENTRAL),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
1A,94A,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Fu (Central),Lei Tung Estate,geographic_area
1A,97,central,STAR FERRY,SAU MAU PING (CENTRAL),Lei Tung Estate,Central (Exchange Square),geographic_area
1A,979,central,STAR FERRY,SAU MAU PING (CENTRAL),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
1A,H1,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
1A,H1S,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
1A,H2,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
1A,H2K,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
1A,H3,central,STAR FERRY,SAU MAU PING (CENTRAL),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
1A,H4,central,STAR FERRY,SAU MAU PING (CENTRAL),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
1A,N11,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
1A,N121,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Ngau Tau Kok,geographic_area
1A,N170,central,STAR FERRY,SAU MAU PING (CENTRAL),Wah Fu (Central),Sha Tin Central,geographic_area
1A,N182,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
1A,N619,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Shun Lee Estate,geographic_area
1A,N680,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
1A,N691,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
1A,N90,central,STAR FERRY,SAU MAU PING (CENTRAL),South Horizons,Central (Macau Ferry),geographic_area
1A,SP10,central,STAR FERRY,SAU MAU PING (CENTRAL),Kai Tak Sports Park,Central (Macau Ferry),geographic_area
1A,X15,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),The Peak,geographic_area
1A,X9,central,STAR FERRY,SAU MAU PING (CENTRAL),Central (Star Ferry),Shek O,geographic_area
2A,102,mei_foo,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2A,102P,mei_foo,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2A,102R,mei_foo,LOK WAH,MEI FOO,Happy Valley Racecourse,Mei Foo,geographic_area
2A,795X,mei_foo,LOK WAH,MEI FOO,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),geographic_area
2A,N122,mei_foo,LOK WAH,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2A,102,mei_foo,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,geographic_area
2A,102P,mei_foo,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,geographic_area
2A,102R,mei_foo,MEI FOO,LOK WAH,Happy Valley Racecourse,Mei Foo,geographic_area
2A,795X,mei_foo,MEI FOO,LOK WAH,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),geographic_area
2A,N122,mei_foo,MEI FOO,LOK WAH,Shau Kei Wan,Mei Foo,geographic_area
2X,102,mei_foo,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2X,102P,mei_foo,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2X,102R,mei_foo,CHOI FOOK,MEI FOO,Happy Valley Racecourse,Mei Foo,geographic_area
2X,795X,mei_foo,CHOI FOOK,MEI FOO,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),geographic_area
2X,N122,mei_foo,CHOI FOOK,MEI FOO,Shau Kei Wan,Mei Foo,geographic_area
2X,102,mei_foo,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,geographic_area
2X,102P,mei_foo,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,geographic_area
2X,102R,mei_foo,MEI FOO,CHOI FOOK,Happy Valley Racecourse,Mei Foo,geographic_area
2X,795X,mei_foo,MEI FOO,CHOI FOOK,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),geographic_area
2X,N122,mei_foo,MEI FOO,CHOI FOOK,Shau Kei Wan,Mei Foo,geographic_area
3B,1,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Happy Valley (Upper),geographic_area
3B,104R,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Ferry Piers),Mong Kok,geographic_area
3B,109,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
3B,11,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Ferry Piers),Jardine's Lookout,geographic_area
3B,111,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Ping Shek Estate,geographic_area
3B,111P,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Choi Fook Estate,Central (Macau Ferry),geographic_area
3B,115,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
3B,115P,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Laguna Verde,Central (Macau Ferry),geographic_area
3B,116,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
3B,12,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central Pier 3,Robinson Road / Park Road,geographic_area
3B,15,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central,The Peak,geographic_area
3B,15C,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
3B,170,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wah Fu (Central),Sha Tin Station,geographic_area
3B,18,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
3B,182,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
3B,182X,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
3B,18P,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
3B,1P,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
3B,2,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Grand Promenade,Central (Macau Ferry),geographic_area
3B,25,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Pier 3/5),Braemar Hill,geographic_area
3B,260,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Exchange Square),Stanley Market,geographic_area
3B,307,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
3B,37A,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Chi Fu Fa Yuen,Central,geographic_area
3B,3A,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Star Ferry),Felix Villas,geographic_area
3B,4,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
3B,41A,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wah Fu (Central),North Point Ferry Pier,geographic_area
3B,4X,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Wah Fu (South),Central (Exchange Square),geographic_area
3B,511,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Tai Hang Drive,Central (Ferry Piers),geographic_area
3B,580,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),GO PARK Sai Sha,Sha Tin Central,geographic_area
3B,6,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Exchange Square),Stanley Market,geographic_area
3B,619,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Shun Lee Estate,geographic_area
3B,619P,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Shun Lee Estate,Central (Macau Ferry),geographic_area
3B,619X,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Shun Lee Estate,Central (Macau Ferry),geographic_area
3B,621,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Laguna City,Central (Hong Kong Station),geographic_area
3B,629,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
3B,641,central,TSZ WAN SHAN (CENTRAL),HUNG HOM (HUNG LUEN ROAD),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
